author,genre,link,name,rating,viewed
Lee Jae Heon,"Gugis,Jeondongjo,Fantasy,Webtoons","As the master of the School of Unholy Arts and as the undefeated Unmasked Demon, MookHyang unfortunately falls to a strange fantasy world by the magic of his enemies (School of Blood Arts). In the new world of elf, sorcerer, knight, and dragon, MookHyang’s adventure of finding a way back to his old world (Murim) unfolds.",Mookhyang - Dark Lady,4.15,"18,948,641"
Fireworks Becomes A City,"Action,Adventure,Fantasy,Sci fi","When the end of the world came, in the hopeless darkness, Gu Qingshan broke away from time and space, and returned to the world before it collapsed, determined to change his fate. But as time went on, he gradually realized that the apocalypse is not as simple as it seemed…",World’S Apocalypse Online,4.84,"1,569,801"
Son Ji Eun,"Drama,Fantasy,Psychological","‘We’ll give you an apple tree in exchange for borrowing your child for 48 days.’ A traditional fantasy depicting Manet going on an adventure to search for their missing younger sibling Nox, who disappeared along with the strange letter.",From Morning To Night,4.5,"130,531"
黎色_,"Fantasy,Romance","Wang Zi Yan, a University student, has always had a body different from everyone else’s. When his body is touched by moonlight, he will become invisible. One night, after getting off work, he uses this ability to save a woman. That’s how an uncontrollable love story started! A soft and cute boy VS a rich, confident woman, how will this love story turn out?",Your Ghost Boy,4.33,"160,595"
Lee Reunbom,"Drama,Harem,Josei,Mystery,Romance,Slice of life,Supernatural","An owner of a wedding boutique <Honey Bouche>, Hong Nanyi. After breaking up with an old car she thought of marrying before, she later meets a Benz at someone else’s wedding. That’s when the three men appear. Three men who used to work as designers for underwear, bouquets, and shoes turned out to be gods. At night, they become Moonlight Reapers who binds people into marriage by a red thread to fulfill their work. What did they look like in her past life? Who will stay by her side in this life? This is a love story between three men and a woman.",Red Thread Gods,4.17,"433,311"
Kirty,"Limejeongwon,Comedy,Romance,Shoujo","Geum Aji doesn’t want to be secretary to young, handsome CEO Cha Do-hwan. She’s been forced into the job by her uncle, and her parents have explicitly forbidden her from resigning voluntarily. Meanwhile, Do-hwan doesn’t want quirky, honest Geum Aji as his secretary, but he has his own reasons for not being able to fire her. Things get even more complicated when they have a drunken one night stand on Aji’s first day at work. Aji wants to be fired. Do-hwan wants her to resign. Who will be the one to give in first? Or will they give in to an entirely different kind of desire?",Fire Me If You Can,4.59,"375,404"
Dur,"Woo Ji Hye,Comedy,Drama,Romance,School life,Slice of life,Webtoons","“Fine! I'll start dating then!!” Dohee has a crush on childhood friend Jaehyuk. But in order to distance herself from him, she has decided to start dating others when the handsome lunatic Wonyoung appears! Wonyoung's constant antics slowly start to rub off on Dohee… will Dohee be able to start a relationship in her eventful campus life?",Today Living With You,4.69,"361,973"
Kentaro Mikashima,"Comedy,Romance,School life,Supernatural","Like an RPG character, Dannoura Choushi possesses a constitution that allows him to respawn at the last place he slept whenever he dies. When he saves Yamazaki An's life, she falls madly in love with him. Will he able to respond to her heavy love? The curtain opens on a sinister, yandere comedy.",Odoru Respawn,4.67,"420,410"
Akamatsu Chuugaku,"Koyoka Yoshino,Action,Comedy,Drama,Ecchi,Harem,Romance,School life,Seinen,Supernatural","Tokyo Butei High school--- It was a special school where armed detectives, also known as ""Butei"" are being brought up. Tohyama Kinji is a sophomore student who has the unique body which activates a ""super mode"" when it was stimulated by ""something"". He tries to hide it to others in order to live a peaceful life. But trouble came to find him when he became a victim of a bombing incident, where he met the Butei high ""Assault"" department elite, Aria H. Kanzaki.",Hidan No Aria,4.61,"3,568,216"
Man Kezhan Manhua,"Romance,Webtoons","BLackmailed by Bossy CEO Comics Online. This is a comedy story about a popular idol who was frozen out by the entertainment company and gained extra weight of 100 pounds. She ended up work as the servant in the bossy president’s house. She helped the president to solve his problems in his social and love life. When she finally lost the weight and returned back to the show business, she found the president is actually face blindness and can’t recognize who she is. She decided to continue her life as the best servant in his house.",Blackmailed By Bossy Ceo,3.48,"6,117,239"
Ine,Romance,"Im Dayeon happened to witness the school’s best insider, In Sahoon’s (inevitable) break up scene. After dealing with the embarrassment, Sahoon offers Dayeon a relationship contract in order to arouse the jealousy of his ex-girlfriend, Suzy. But even then, he got rejected. Soon after, due to the accident of Dayeon’s brother, she got forced to accept Sahoon’s relationship contract. Everyone’s insider Sahoon and living in substinence outsider Dayeon got tangled in a polar opposite love affair as .",Show Window Couple,4.2,"223,752"
Ari,"Romance,Slice of life","The reason why we shine even in the dark reality is that we have different stars. Our growth that shines like a star, and romance","To You, Who Keep The Star",4.39,"103,599"
Morikawa,"George,Action,Comedy,Drama,Shounen,Sports",,Hajime No Ippo,4.5,"67,825,076"
오미자청,"Comedy,Drama,Fantasy,Historical,Romance,Webtoons","The Villain Demands I Love Him summary is updating. Come visit MangaNato.com sometime to read the latest chapter of The Villain Demands I Love Him. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",The Villain Demands I Love Him,4.66,"1,999,720"
Sola,"Comedy,Drama,Fantasy,Romance,Shoujo","The day I lost my boyfriend to my best friend, I fell into the Han River by mistake.",The Justice Of Villainous Woman,4.58,"20,762,224"
Junepurrr,"Fantasy,Romance,Manhua","In a last attempt at peace, Clove, the last princess of a near-extinct Dragon clan is forced into a political marriage with an enemy prince.",Subzero,4.41,"2,512,063"
Hoopa,"Pogo,Action,Sci fi","If AI Ruled the World summary is updating. Come visit MangaNato.com sometime to read the latest chapter of If AI Ruled the World. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",If Ai Ruled The World,4.33,"65,687"
Ai Lu Mao,"Yao Ye,Qing Man,Action,Adventure,Comedy,Fantasy,Martial arts,Shounen,Webtoons","The young Xiao Lang awakened with a Divine Spirit, but the others believed it to be a useless one. He was ridiculed by everyone and some even sent assassins after him, thus forcing him to leave his clan. From then on, he surpassed his limits and attained unimaginable strength! “If the Heavens restrict me, then I shall break the Heavens!""",Rise Of The Demon King,4.41,"19,325,402"
Dahye Kang,"Ina Seo,Josei,Romance,Tragedy","‘Don't be a fragile woman' I replied ‘I won't be fragile anymore' ‘Don't be a butterfly stuck here again'. A story about a couple that ends in tragedy. She, who was born to the wife of a king, vowed not to be a trapped butterfly again. When I opened my eyes, fate came again, ‘Later we will meet again as a man and a woman then you must be my woman and I will never let you go again' said the man.",The Disappearance Of The Crown Prince Of Joseon,4.59,"79,813"
Ryouhei Yamamoto,"Comedy,Ecchi,Shounen,Slice of life",A screwball ecchi romantic comedy about a young potential mangaka dealing with his assistants who are sisters as they are madly in love with him.,Saotome Shimai Ha Manga No Tame Nara!?,4.74,"5,799,303"
불사 / 수리,"재림,Drama,Romance,Shoujo","Yeon-Woo's husband died the day they ended their sham marriage. Yeon-Woo, who is swept in sorrow, is given a chance to return 100 days back in time! As she struggles to prevent the death of her husband Seon-Jae, their ‘real' marriage has only just begun. This is the story of a late budding romance, faced with danger and a life at stake.",Surely A Happy Ending,4.87,"283,476"
Ojiro Makoto,"Comedy,Romance,Seinen,Slice of life","After being accepted into an out-of-prefecture high school, Suda Gen moves to the countryside to live in a temple run by distant relatives. Gen has apparently been there before, but he was too small to remember. There, he stays with Koterasawa Chion, an older girl that is accustomed to the hard work and quiet of living in the country. This is the story of their new life together.",Neko No Otera No Chion-San,4.8,"4,483,833"
Jo Yongseuk,"Comedy,Drama,Romance,Sports,Tragedy,Webtoons,Manhwa",Street riding drama of youngsters who dream of freedom! - Naver,Wind Breaker,4.51,"18,280,330"
Yuewen Comics,"Romance,Shoujo,Webtoons","Have you heard of a world of quick transmigration, bound by a prodigal system, where if you'll die if you don't spend money? The embarrassing missions involve spending money, taking revenge, and ensuring the well-being of a pretty boy. Chu Zheng had no choice but to accept these terms... the system is way too powerful. She can only advise everyone: if you want to become a big boss, start by spending moner",Becoming A Big Boss Starts With Spending Money,4.54,"26,873"
崔世鹏 川夜,"Action,Ecchi,Fantasy,Harem,Shounen","Su Xiaobai was on the brink of death, he was brought into a new world. The soul of the strongest evolver “King of Stars” Long Ming now inhabits his body. Therefore, he has acquired an extremely powerful ability : “The Endlessness of Dim”. The only drawback is that if Xiaobai ever gets a boner, he will experience severe pain. However, when he will have found the murderer of Long Ming and ascended the throne of Protoss Palace, this weakness will disappear…",Dark Star Emperor,4.41,"9,582,291"
