author,genre,link,name,rating,viewed
Hyung-Keun Cho/inho Kim,"Action,Historical",You called me. A person like me ‘Brightness of hermit. Become an escort!,Escort Warrior,4.83,"805,325"
Manman,"Action,Drama,Romance,Webtoons","Multiple transmigration locations versus multiple drop-dead handsome appearances. Qi Yan transmigrated after he died and is permanently locked by the system to return to the world as a different male character each time to target a different male host. Despite experiencing multiple sources of seductions, he can effortlessly retain his loyalty to his one true love—but is that truly possible?",The Expert Boyfriend Snatcher,4,"1,231,549"
Er Mu,"Dr Woodman,Action,Adventure,Drama,Fantasy,Harem,Historical,Seinen,Supernatural,Webtoons","A male engineer transmigrated into another world, and became a prince. This place strikingly resembles the Middle Ages of Europe, but at the same time, it seems kind of different? Witches truly exists, and they even possess magic powers! Magic powers are productive forces! Save the witches, liberate the productive forces! Open map, fight demons, break conspiracies, climb up the science and technology tree, and open the path of hardcore ‘farming’!",Release That Witch,4.95,"79,784,749"
Hirao Auri,"Comedy,Drama,Gender bender,Seinen,Slice of life","A girl is obsessed with her favorite idol, a minor member of a less popular group, enough that she says she'd die to see her play at Budoukan.",Oshi Ga Budoukan Ittekuretara Shinu,4.11,"77,350"
Minoru Takeyoshi,"Drama,Historical,Seinen,Tragedy","“Iron Maiden” is an instrument of torture modelled after Mother Mary's form. The interior is full of long nails, and people who are enclosed in it would be pierced to death. But the “Iron Maiden” that exists nowadays is simply a counterfeit made by us based off of old tales. The “maiden” who possesses a gentle, loving face as well as a violent “body”... Did the “Iron Maiden” really exist in the past?",Hengoku No Schwester,4.58,"747,091"
Shina Dai,"Adventure,Comedy,Drama,Fantasy,Romance,Shoujo","Nike, the fourth princess of the Rain Dukedom and one who holds the power to call forth the rain, travels to the Sun Kingdom to marry King Livius on behalf of her country after losing a game of rock, paper, scissors to her three older sisters. Upon arriving at the Sun Kingdom, she discovers that the Livius, who conquered the world in only three years after his ascendance to the throne, is only fifteen years old!",Soredemo Sekai Wa Utsukushii,4.53,"9,555,095"
Manlywood,"漫莱坞,Fantasy","Dao Destroyer brings Jiutian Divine Stone, regenerates the city, refining the alchemy, can refining the tool, understand the formation method, and see how Lin Fan hangs all evil in the city, step by step to the top , Overlooking sentient beings……………",Urban Rebellion,4.44,"6,712,769"
Orihara Sachiko,,"Itoshi no Sakura-san summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Itoshi no Sakura-san. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Itoshi No Sakura-San,4.37,"315,641"
Misaki Takamatsu,"Comedy,Romance,School life,Seinen,Slice of life","Iwakura Mitsumi always had big dreams, of leaving her small town, advancing to the top tier university, and then contributing to the country before retiring back to her home town. So focused is she to her goal that she is oblivious to all the other ways she comes up short, much to the chagrin and concern of her friends and family. Can a naive country girl make it in Tokyo?",Skip To Loafer,4.79,"622,827"
Miura Kouji,"Romance,School life,Shounen","A bachelor for the past 11 years, Higuchi Yuuki is a male teacher in an all-girls school. He keeps wondering how to bridge the gap between himself and his students when he’s suddenly confessed to by Ichikawa, one of his students!","Sensei, Suki Desu.",4.57,"523,195"
Bo Yichuang,"Action,Adventure,Comedy,Ecchi,Fantasy,Martial arts","Fang Haotian is a young boy who is deeply in love with a girl called Ningyu, but her parents are opposed to their relationship. Ningyu is arranged for marriage to another man. Can he become strong enough to take back his beloved Ningyu from this man?",Greatest Sword Immortal,4.2,"5,347,177"
伊朵,"可乐罐,Fantasy,Romance,Shoujo","In Si Ling's family, there is a saying that if you kiss your soulmate, you will be able to enter each other's dream. One day, Si Ling unexpectedly met the An family's young master, An Yunxiu, and accidentally gave him her first kiss. Who would have thought that Si Ling was the first girl who was able to touch An Yunxiu? It was a fate that was already set, and nobody can break it.",Oniros Found Love,4.46,"29,750"
Rokujuuyon Okazawa,"Rurekuchie,Fantasy,Seinen,Slice of life","The dark soldier Dariel (30 years old) who can't use magic while in an army of demons, was fired for his lack of capacity. His desperate second life has begun in a human village where Dariel has arrived!",Kaiko Sareta Ankoku Heishi (30-Dai) No Slow Na Second Life,4.75,"7,966,624"
Asayama Wakabi,"Comedy,Drama,Psychological,School life,Shounen,Slice of life","When the daughter of the Takato family, Ichigo, returns from studying in the UK after a year, she notices a strange situation in her family. Apparently, they all seem to have been brainwashed by the butler, Seijuurou Kuki, who came while Ichigo was abroad. And so begins her efforts to return her family back to normal while desperately resisting Kuki's influence.",Sennou Shitsuji,4.47,"170,371"
Kakitsubata Waka,"Comedy,Josei,Romance,School life","The romantic comedy follows the everyday life of an extremely tsundere (initially aloof and abrasive, but later kind-hearted) boy named Atsuhiro ""Akkun"" Kagari and his girlfriend Non ""Nontan"" Katagiri. Akkun's behavior is harsh towards Nontan with verbal abuse and neglect, but he actually is head-over-heels for her and habitually acts like a stalker by tailing her or eavesdropping. Nontan is oblivious to Akkun's stalker ways, and thinks his actions are cute.",Akkun To Kanojo,4.69,"309,867"
Nagai Yoshio,"Matsumoto Jiro,Action,Drama,Historical,Mature,Seinen",A martial arts historical series about a peasant turned samurai and caught in the turmoil of the final year of the Edo Period (1868).,Ichigeki (Matsumoto Jiro),4.74,"1,418,463"
Sekaneko,"Comedy,School life,Slice of life","High-school student Hasumi-chan is drawn to Khomura-sensei, a young, socially awkward biology teacher generally seen as weak and boring but recognized by her to be kind.",Homura Sensei Is Probably Unpopular,4.75,"564,550"
Nagashii Kouhei,"Ishigana,Comedy,Romance,School life,Shounen","Kobayakawa is an unsocial student who lives an extraordinarily ordinary life. One day he meets a girl named Hoshino who has a secret that nobody knows except her and her sister, one day when Kobayakawa was saving a cat with Hoshino's help, he discover her secret and as a request for her sensei, Kobayakawa has to make-up Hoshino to keep the secret untold.","Hoshino, Me O Tsubutte.",3.99,"3,905,600"
Yuugo Kobayashi,"Naohiko Ueno,School life,Seinen,Sports","Seinen sports series, serialized on Big Comic Spirits. Nominated for the 2017 Manga Taisho Award.",Ao Ashi,4.37,"8,192,628"
Haruki,"Adult,Ecchi,Harem,Mature,Romance,School life,Seinen,Smut","A new teacher enters an all-girls high school and as he tours around he sees a female student sleeping in a classroom. When she wakes up, however, she suddenly kisses him...",Sense,3.86,"4,619,618"
Tukushi Akihito,"Adventure,Drama,Fantasy,Sci fi,Seinen","The enormous cave system, known as the Abyss, is the last unexplored place in the world. Nobody knows how deep down goes this titanic pit, inhabited by strange and wondrous creatures and full of mysterious ancient relics which purpose in unknown to modern man. Generations of bold adventurers have been drawn by the cryptic depths of the Abyss. In course of time those brave enough to explore the dangerous pit came to be known as ""Cave Raiders."" In Oosu, the town at the edge of the Abyss, there lives a little orphan named Rico, who dreams of becoming as great a cave raider as her mother was and solving the great mystery of the pit. One day exploring the murky depths she stumbles upon a little boy, who turns out to be a robot...",Made In Abyss,4.82,"16,781,415"
Kaneko Atsushi,"Action,Comedy,Drama,Seinen","Deathco is a girl who's good at killing...and not much else. She works for The Guild, an international league of assassins whose members infamously dress in costumes when they're hunting their targets.",Deathco,4.02,"110,699"
Type-Moon,"French Bread,Mystery,Shounen,Supernatural",The Official Melty/Tsukihime/Fate Grand Order Crossover Manga,Melty Blood - Back Alley Alliance Nightmare,4.56,"157,982"
Fujita Kakuji,"Action,Adventure,Ecchi,Fantasy,Gender bender,Historical,Martial arts,Seinen","Tokugawa no Saru summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Tokugawa no Saru. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Tokugawa No Saru,4.03,"147,407"
Okano Yuu,"Suzuki Izo,Drama,Fantasy,Romance,Supernatural","It details the life of a mid-rank soldier who died at the very end of the war against the Demon Race. Fortunately for him, he wakes up to find that he’s a baby again, in the embrace of his real mother, years in the past. Determined to avoid the chain of tragedies that took his beloved ones away from him, he takes advantage of the advancements in swordsmanship and magic that developed during the war (as we all know, wars are when many scientific breakthroughs tend to happen), and tries his best to prepare for the demon invasion as well as strengthen himself with maximum efficiency. Description taken from Hot Chocolate Scans.",Hiraheishi Wa Kako O Yumemiru,4.74,"21,873,382"
Kim Myeongmi,"Comedy,Romance,Supernatural,Webtoons","Promoted at the speed of light, the star of JK Electronics, the ultimate career woman, yet always forever alone Cha Ju An! Kind, honest, full of vitality, and with the looks and physique to rival a model, yet bumbling fool Yoo Do Jin! With such different personalities, one day these two… #suddenly #withoutwarning #during #officehours switched souls?!!! Due to this switch, their lives are made a mess!! But what is the reason for this switch? And that reason is to match these two up by force! By the same author as What’s Wrong with Secretary Kim.",1/24 Romance,4.68,"703,584"
Ciweimao,"Action,Martial arts,Mecha","The gaming emperor Feng Xia accidentally travelled into the era of magic and cultivation, attributes’ abilities and strategy can be used to defeat his opponents and each time he defeats his opponents, he can obtain the skills and attributes of the enemy, turning the world with each battle! There are also many beautiful beast-women in the world, Feng Xia destroyed the opponents with so called “unparalleled skills” and steals their power into his!",I Picked Up An Attribute,4.43,"2,827,454"
Murata Mayu,"Drama,Romance,School life,Shoujo","Honey Lemon Soda summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Honey Lemon Soda. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Honey Lemon Soda,4.76,"5,113,739"
Wakui Ken,"Action,Drama,Ecchi,Seinen","Shiratori Tatsuhiko was a bum wandering the streets with no money to his name when he meets Mako. He works as a scout for an agency called Burst that recruits girls on the streets for adult entertainment in the Shinjuku area of Tokyo. Tatsuhiko quickly learns the techniques of scouting and is even more attracted to how much money he can make. But with how the industry is maintained, Tatsuhiko has to deal with the lying, deception, violence, greed and even the yakuza. He wants to keep the morals that he has, but it gets progressively harder and harder as he gets deeper into the other side of society.",Shinjuku Swan,4.32,"1,886,411"
Burning Manhua,"Zhang Yue,Adventure,Drama,Fantasy,Martial arts,Shounen,Supernatural,Webtoons","A generation of strong stars, Stardust, died at the hands of the villain and fell accidentally. When I woke up, I had been sleeping for 80,000 years. Things have changed. The four adopted sons have already become the strong men of the continent; a wild dog that has been saved has become the supreme demon king... that child, it is said 40,000 years ago, overcame common customs and became supreme! Observing the small sorrows of tens of thousands of years ago, one by one, Yang Chen feels that Yalishan is great! This is a little loaded.","Reborn 80,000 Years",4.46,"39,910,741"
Shidai Man Wang,"Fantasy,Romance","Su Aixin, a female student in her senior year of college accidentally picks up a charmed bracelet. From then on, she has the ability of changing personalities. Different personalities have different strengths and knowledge, bringing a huge change to her life…",Prince Charming Has His Eyes On Me,4.17,"539,152"
Ditama Bow,"Adult,Comedy,Ecchi,Harem,Romance,School life,Seinen","Keita Suminoe has two older (not blood-related) twin step-sisters who love him in a lustful way and have no problems expressing it. They even like to compete about it; much to the laughter of his friends (which he usually endures without problems). One day they come to his school to give him his lunch, resulting in him getting angry due to the atmosphere. To counteract his anger, they confess their tender feelings for him in front of everyone and leave. Feeling sorry he chases after them and says that he'll study hard in order to get in the same high school as them.",Kiss X Sis,4.49,"14,826,280"
Higashide Yuuichirou,"Type-Moon,Ishida Akira,Action,Fantasy,Mystery,Romance,Shounen,Supernatural","The setting of Fate/Apocrypha is a parallel world to Fate/stay night where the Greater Grail was removed from Fuyuki after the Third Holy Grail War and disappeared for many years. Around the 2000s, around the same time as the Fifth Holy Grail War would have happened, the group that plundered the Grail, Yggdmillennia, openly declares their secession from the Mage's Association and that they are in possession of the Grail. The Association dispatches fifty magi to retrieve it, but all but one are instantly slaughtered by Lancer of Black. The one remaining manages to activate the reserve system of the Greater Grail, allowing for the summoning of fourteen Servants in total.",Fate/apocrypha,4.32,"1,568,166"
Zhaohuashe,"Drama,Harem,Romance,Webtoons,Isekai","A 19-year-old girl named Qing Tian was suddenly transported in time to an unknown dynasty. At first, she thought she could slowly enter the battles of the harem, but she’s surprised to find out that she's actually the Queen! How did this messy story come to be??",The Queen Is Busy,4.71,"2,981,730"
Hirose Ayumu,"Comedy,Fantasy,Romance,School life,Seinen,Slice of life",Girl who is only romantically attracted to snakes falls in love with her teacher.,Oshite Dame Nara Oshite Miro!,4.68,"1,030,892"
Ryousuke Hata,"Kuno Touya,Action,Fantasy,Shounen","Will was a boy left to his fate in the middle of nowhere, but his luck changed when the gods gave him another destiny. That child who was destined to die is now destined to become the mightiest of all with the help of the god of the sword, the god of magic and the goddess of sanction, Will's adventures are about to begin!","Kamigami Ni Sodaterare Shimo No, Saikyou To Naru",4.4,"4,092,388"
Hong Dae Eui,"Action,Adventure,Fantasy,Shounen,Webtoons,Manhwa","???: Alright, let's keep it up and do the heave-ho",The Lord's Coins Aren't Decreasing?!,3.24,"403,073"
Tsuyatsuya,"Ecchi,Romance,Seinen","'I', along with that girl, 'me' and that girl's 'Mama'. An early afternoon in summer on a listless day, the relationship between 'I' and 'Mama' started with the scent of her breasts dewed with sweat. A passionate and erotic story by Tsuyatsuya about love triangle involving both mother and daughter!",Boku To Watashi To Mama No Natsu,3.77,"199,933"
Updating,"Romance,Webtoons","Love Me Gently, Bossy CEOStep-mother’s bullied you, ex-boyfriend betrayed you, what should you do? Swallow everything down to your belly and live silently? Or fight back for yourself?!","Love Me Gently, Bossy Ceo",4.48,"3,709,584"
Type-Moon,"Takenoko Seijin,Action,Drama,Fantasy,Shounen,Supernatural",Being flung from the world of Fate/Extra Kishinami Hakuno finds himself in a very strange predicament. Caster Route.,Fate/extra Ccc - Foxtail,4.54,"1,448,661"
Shimamoto Kazuhiko,"Comedy,Drama,Romance,Seinen,Slice of life","This comic tells about 'behind the scenes’ the life of a Japanese professional comic artist. Every day of busy work that could not be separated from the deadline, the editor demands, sometimes not only affected the comic readers, even the author himself and his assistants are affected by the comic, how comic artist get along with the people in unusual way, and all the story is delivered with hyperbole.
This comic is full of overflowing passion. The super excited assistant and always alert. Fiercely editor. Endless deadlines. There was no day without any surprises in Moyoru Hono’s life as a comic artist. Quite often he had to choose between idealism or his editor demands. Everything finished in his pen strokes.",Howling Pen,4.15,"78,118"
Kumeta Kouji,"Comedy,Mature,Romance,School life,Shounen","The story follows the crazy misadventures of Kaizo Katsu, a former child prodigy turned weirdo after his female childhood friend, Umi, kicked him off a jungle gym in the playground, and he got a huge bump in the head. With this set up, Kaizo (believes he is a cyborg) and his classmates, Umi (will go revealing her dark side with every chapter), Suzu, and Chitan (an inferior being?), will treat in every chapter a different topic of life with the hilarious and interesting way of thinking of the author Kumeta. The attacks of different geniuses/weirdos will create a lot of funny situations. Included is a story called Yuuryoubukken Chuukaishimasu (A Brooding, Gloomy Property) in vol. 13: A young man moves from his hometown to Tokyo to attend university there and looks for cheap accommodation. He does indeed find something, but what is the non-monetary price for this?",Katteni Kaizo,4.14,"472,234"
Inoue Kenji,"Yoshioka Kimitake,Comedy,Ecchi,School life,Seinen,Slice of life,Sports","From MangaHelpers: A new life begins for Kitahara Iori as he begins his college career near the ocean in Izu city, full of excitement for his new life. He will be moving into his Uncle's diving store ""Grand Blue."" There he finds the beautiful ocean, beautiful women, and men that love diving and alcohol. Will Iori be able to live his dream college life? This manga centers on the budding youthful drama of a college student living along in a coastal city who meets a scuba-diving and fun-loving upperclassmen.",Grand Blue,4.89,"26,050,549"
Tokunou Shoutarou,"Comedy,Seinen,Slice of life","Follow Aoba Suzukaze, a fresh high-school graduate that is easily mistaken as a middle school student, as she joins the game company that produced her favorite game as an artist, and her cute antics in this story told through 4-koma.",New Game!,4.6,"3,325,390"
Nuò Dòngmàn Gōngzuò Shì,"Action,Adventure,Fantasy,Romance","To Revenge, DivineHe was the gods’ tutor in the divine realm. He never expected that he would die at the hands of his own beloved disciples. Perhaps the God was touched by his grievance, that’s why HE gave him another chance to live! He was reborn as Ling Jianchen, whose martial spirit was ruined before he was killed. What’s worse, this poor guy’s fiancee came to his funeral, not for mourning, but to cancel their engagement…","To Revenge, Divine",4.49,"1,507,166"
Kinoshita Hanta,"Inoue Noriyoshi,Action,Ecchi,Mystery,Seinen,Supernatural","Babel the 2nd: Golden Boy summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Babel the 2nd: Golden Boy. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Babel The 2Nd: Golden Boy,3.77,"43,102"
Uguisu Sachiko,"Hiyodori Sachiko,Horror,Romance","""Is this a dream or a miracle?""",Tokimeki No Ikenie,4.35,"373,024"
Sogabe Toshinori,Comedy,A male to female ratio of 1:359?! Saotome-kun is admitted into a school full of gyarus.,Yankee Jk Kuzuhana-Chan,4.74,"7,203,730"
Action,"Drama,Horror,Shounen,Supernatural","After a few years, our main character Jinguu Masato, returns home. Due to his nature, he loves animals and he also likes to visit them. Because of this, he loved to visit the zoo since he was small and that’s how he developed a close relationship with Hanayo. However, Masato gradually starts to notice some strange incidents happening in the zoo and after that, he’s thrown into this unexpected world...",Jinmen,4.55,"1,362,850"
Dagabi,"Flower J,Jin Soye,Comedy,Fantasy,Romance,Slice of life,Webtoons","Suah is a petite, red-haired designer who leads a drama-free life… until one morning, she wakes up tied to a chair. The man scowling down at her is none other than her roommate’s scary older brother, Seung-hyun, the owner of the apartment she’s been living in rent-free for the past eight years. He gives her one week to pack her bags and move out. Panicked Suah tries to plead and beg, but the coldhearted Seung-hyun’s got the upper hand. That is, until he runs into Suah at work. Turns out she’s not only an essential member of the new team he put together, but also one of the best employees he’s ever worked with. Like it or not, the two are stuck with each other for the foreseeable future… Can Suah convince Seung-hyun to let her stay? And how will Seung-hyun keep things professional with the woman he wants to kick out of his house?",Faking It In Style,4.7,"2,054,805"
Ishinomori Shotaro,"Action,Adventure,Sci fi","Shin Kamen Rider Spirits summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Shin Kamen Rider Spirits. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Shin Kamen Rider Spirits,4.73,"97,101"
Kitazaki Taku,"Adult,Comedy,Drama,Ecchi,Harem,Mature,Romance,Seinen,Smut,Supernatural","22-year-old Rin has two major problems: a complex about the tattoo-like birthmark on his butt and a crush on an older woman who thinks of him as her little brother. Rin hasn't allowed any woman to see his naked bottom since an incident when he was 7, which firmly entrenched his shame about his birthmark. When he finds his birthmark may grant him mystical powers over the opposite sex, will he finally be able to use his butt to his advantage?","Kono S O, Mi Yo!",3.79,"4,694,234"
Kida Miyuki,"Sosou Shibu,Comedy,Drama,School life,Yuri",A story about two cute schoolgirls..,Kanojo No Kuchidzuke Kansensuru Libido,4.48,"510,760"
Hoshikuzu Ponpon,"Mizuno Sen,Adult,Fantasy,Gender bender,Isekai","The story follows the High-schooler Futsu Jintarou, whose confession was rejected by his crush.","Bishoujo Ni Natta Kedo, Netoge Haijin Yattemasu",4.48,"1,546,417"
Hino Haruto,"Comedy,Shounen,Slice of life","20-year-old Michiru Amatsuki moved to Tokyo due to a change of career. She decided to live in a woman-only share house ""Stella House Haruno"" with people of different age and occupations. It’s always fun when there’s delicious alcohol and meal!!",Takunomi.,3.87,"259,656"
Tsuyatsuya,"Adult,Drama,Ecchi,Mature,Romance,School life,Seinen,Smut","Prequel to ""Rakujitsu no Pathos"" where we see Yuuki working as a school teacher and get to understand how things came to be...",Tasogare No Ethos,4.13,"1,296,718"
Nikaidou Kou,Comedy,"Ame to Kimi to summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Ame to Kimi to. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Ame To Kimi To,4.89,"1,184,260"
Awin,"Galanthorn,Wuzhou,Action,Adventure,Fantasy,Martial arts,Shounen,Webtoons","Ryu-Yeon lost his father to a disease when he was only 10 years old. With the skill he learned from his father, he could carve wood into wonderfully intricate sculptures. One day, after completing the sculptures of his parents, Ryu-Yeon was greeted by an elderly man who was impressed by his sculptures. The old man saw promise in Ryu-Yeon and asked him if he would like to become his disciple. As Ryu-Yeon had nowhere to go and wanted to make the most of his life, he accepted the old man's offer.",Lightning Degree,4.71,"11,358,777"
Dosei Fujiko,"Action,Comedy,Drama,Romance,School life,Shounen,Slice of life","Sensou Gekijou summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Sensou Gekijou. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Sensou Gekijou,4.54,"94,866"
San Xian Yi Mian,"Tang Jia San Shao,Fantasy,Josei,Romance","Qin Chuan, the administrator of Baifuquan Relic Park, is keen on small animal protection. Under an unintentional coincidence, the learned man is invited to design a tour route along the Beijing-Hangzhou Grand Canal for Zhan Zhixia. An accidental intersection in life leads to a shared life. From acquaintances to lovers, with the beautiful scenery of the Grand Canal, the dilemma of life has become bright with love...",A Thousand Miles Across The River: Qin Chuan And Zhixia,4.28,"6,765"
Akko Culture,Manhua,"Ye Ziqiu, who was born in a wealthy family, has been living in the mud all the time. She was kind and tolerant. In order to marry a fool for her sister, she was forced to implant a new heart when she was dying, and she fell into the claws of Yan Mengjun! This perverted pervert who deceives the whole world is not only extremely clever, but also a demon head with a mask! She lived only to atone for her sins, but since she married Yan Mengjun, she had to make peace with her body, he said, she no longer wanted her heart.",Sultry Wedding,3.97,"18,486"
Zan Wu,"Comedy,Fantasy,Historical,Martial arts,Romance","Jun Jiu, the Huaxia magic hand, excelled both in medicine and poison. After the time leap, she virtually became a trash that anyone could humiliate. A trash? She's good at everything! She beats jerks up in the face, makes powerful elixirs with ease, owns a mythical beast, And sleeps with the emperor at night! So now who's that trash?","I’M Raising A Man In A Different World: The Divine Doctor, Miss Jiu",4.4,"18,432"
Updating,"Comedy,Romance,School life,Shoujo",The Strongest Background Character,I Snatched Away The Male Supporting Character’S Role After Transmigrating Into A Book,4.27,"21,646"
신형욱 / 양경일( Shin Hyung-Wook / Yang Kyung-Il),"Action,Adventure,Fantasy,Sci fi",The boy caught in the alien war. Giant robot action in Busan!,The Boy And Robot,4.51,"25,985"
Yong Hyundong,"Romance,School life,Shoujo",Smartphone addict Joo Damu's 10 year old phone suddenly turned into a human?,Smartphone Addict,4.25,"46,889"
Updating,"Action,Adventure,Comedy,Fantasy,Harem,Martial arts","Upon waking up, Ye Bei found himself resurrected! Three hundred years have passed. All the apprentices who worked so hard to cultivate at the time have now become immortals and grown up. some are slim and graceful! Ye Bei, “Three hundred years…Three hundred years, it's time to train for the teacher…No, I'm teaching you!”",My Apprentices Are All Female Devils,4.65,"59,695"
Tianyi Icartoon,"Action,Adventure,Fantasy,Martial arts","Reborn to be a nobody but with a clear memory of all his enemies of the last life... This is not fair but he has to accept it... This is not fair but he determines to change the unfair things into fair! In this life, he tries to become the best, to take revenge, to become the king of all!",The King Of All,4.14,"182,124"
일,"한기주,Fantasy,Romance","High School Teacher, Park Sarang, has a very important mission to do even if it means devoting her entire life. She has to find 'Ondal', the true fated partner of her cousin Pyeonggang (Princess Pyeonggang in her previous life)! But when she's busy searching for Ondal to tie their knot, handsome guys keep appearing in front on Sarang?!",Sarang And Pyeonggang’S Ondal,4.55,"7,212"
Webtoons,,"Hardcore Leveling Warrior summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Hardcore Leveling Warrior. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Hardcore Leveling Warrior,4.41,"41,731,102"
Kitty Jiu,"Queenofthefuzzybugs,Comedy,Fantasy,Romance","In her previous life, Camilla Florentine pirated the cheesiest otome game ever. Now she's living a real version with real consequences. As the prince's wicked fiancée, Camilla is destined to die within a year of becoming queen – unless the prince marries the heroine instead. Camilla has to stop the heroine from falling for a different capture target and rewrite the only ending where she might survive. The world is determined to make her the villainess, but can she find a good ending of her own?",Every Rose Has A Death Flag: Life Is But A Flower,4.7,"25,299"
Al Kkeh,"Action,Adventure,Fantasy,Shounen","On her sister's birthday, Roxy lost everything to the gods that rule her world and learns that she is merely food for the gods. Hearing that she can revive her sister if she acquires a heart, Roxy sets out on a dangerous journey in search of it. Not long after, she encounters people following her trail and enemies that are too much for her. Can Roxy defeat her enemies and revive her sister?",The Last Golden Child,4.23,"9,028"
홍달,"Action,Fantasy","In a world where magic girls are illegal, living as magic girls are absolutely risky. Life as a magic girl was a big flaw for the popular idol, Aurora, and the appearance of strange wizard boy, Simcheong raises questions. Can Aurora finish her magic girl's contract safely and continue living her glorious life?",Only Aurora,4.04,"8,103"
Yy,"Action,Fantasy,Historical,Shoujo ai,Yuri","""Warning: Yuri content: This manga contains materials that might not be suitable to children under 17. By proceeding, you are confirming that you are 17 or older.""",Xian Chan Nu,4.49,"111,806"
Hwabong,"Pasa,Taru,Action,Fantasy,Historical,Martial arts,Mystery,Supernatural","The most dominant warlock, Diablo Volfir, eldest son of Earl Welton was sealed away in uncertainty for eons by all twelve gods. It's been 66,666 years later, Diablo was released and descends back onto earth! “I'm free!” Let our journey begin!","Reincarnated Into A Warlock 66,666 Years Later",4.84,"170,119"
Sung-A,"Drama,Romance,Slice of life",A 15-year-old 2nd year middle school student's clumsy and awkward first love.,Gatabutata,4.72,"1,259,655"
Moon Si Hyeon,"Drama,Fantasy,Historical,Psychological,Romance,Tragedy","Living for the sole aim of escaping! ‘Light of Rusbella’ was a depressing romance novel. Wishing for a new life, Asili Rosé was reborn as the 8th wife of the Estrian Emperor. She thought she was born with a golden spoon, but it was actually just a gilded spoon? Once she realized that nothing but ruin awaited, she found a diary foreshadowing the future… It foretold Asili’s death by the hands of the Crown Prince, Castor! [“What does the empire mean to you?” After asking this, the Crown Prince smiled so very beautifully. And then he killed me.] Unfortunately, Asili kept coming back to life, and continued to be killed over and over again. As she continued to relive her deaths, she slowly lost her smile and changed. …Let’s try to survive first. ________________________________________________________________________________________ “What can I do for my elder brother?” “Well.” Pale sky blue hair fluttered finely in the wind. He smiled weakly, before parting his dry lips. “Call my name.” “…” My head quickly snapped up. “Call me… Amoru.” His fingertips skimmed along my inner wrist. ______________________________________________________________________________________ Note: This is a oneshot promotional manhwa for the novel of the same name.",Don’T Concern Yourself With That Book,4.64,"765,753"
Zhi Zhen,"Xiao Qiu,Comedy,Drama,Gender bender,Historical,Romance,Shoujo,Manhua",YiYi is one of the most beautiful girl in the kingdom. But after got called ugly by the Emperor she decide to be petty and join the palace as the palace's painter. Her plan? It's to draw even the most beautiful lady into an ugly hag!!!,Princess In The Prince's Harem,4.1,"11,127,045"
Updating,"Action,Fantasy","???: Alright, let's keep it up and do the heave-ho",The Lord’S Coins Aren’T Decreasing?!,4.83,"1,968,653"
风与自然,"Comedy,Fantasy,Romance","Ye Mu transmigrated into a book as a tragic cannon fodder, who was supposed to support the female lead. But having no time for games, she decided to kill the male lead and let the world collapse so that she could escape! One look at the scrawny little boy in front of her and she couldn‘t do it anymore…what should she do? Raise the male lead up and let him help her? The idea is great! But as she raised him the male seemed to have grown devious! Ye Mu was tearful. Where did her upright protector go to? Could she restart again?",Raising The Enemy Only Brings Trouble,4.72,"575,409"
丹青映月,"Action,Romance","City Immortal Emperor : Dragon King Temple summary is updating. Come visit MangaNato.com sometime to read the latest chapter of City Immortal Emperor : Dragon King Temple. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",City Immortal Emperor : Dragon King Temple,4.54,"1,225,855"
Dawn Alliance - Jun Jiu Ru,"Romance,School life","Award-winning darkhorse Dong Fang Fei Fei, also known as the beauty who specially attracts scumbags was sent back to the high school when she was 17-year-old after being reincarnated. In order to avoid the fate of being killed again, she must gain admission to Qing Hua University. Dong Fang Fei Fei roared: “You want an illiterate like me to get into Qing Hua University?!”","Rather Than Being An Award Winning Actress, It’S Better To Study At Qing Hua",4.43,"214,593"
